aX,aY,aZ,gX,gY,gZ
0.555,-1.342,1.065,27.161,49.255,108.093
0.587,-1.257,1.054,23.865,47.852,103.455
0.556,-1.230,1.073,15.930,44.556,103.271
0.478,-1.295,1.120,5.981,40.161,105.835
0.369,-1.343,1.101,-4.517,34.729,104.919
0.233,-1.326,1.041,-11.353,26.733,95.764
0.103,-1.288,0.986,-9.338,16.418,80.811
0.030,-1.259,0.924,-0.366,6.653,63.293
-0.009,-1.230,0.851,11.414,-6.470,42.419
0.020,-1.181,0.825,26.917,-14.709,21.545
0.056,-1.062,0.810,40.649,-18.555,7.202
0.091,-1.055,0.866,50.110,-19.348,1.587
0.056,-0.902,0.955,45.715,-22.461,-0.793
0.120,-0.785,1.011,30.334,-18.555,4.456
0.130,-0.665,0.948,13.306,-2.258,7.874
0.082,-0.565,0.976,-1.038,9.949,13.428
0.088,-0.493,0.965,-13.062,13.489,13.672
0.112,-0.376,0.963,-19.409,10.315,10.071
0.142,-0.250,0.939,-16.907,6.348,2.686
0.178,-0.107,0.942,-10.315,-0.732,-3.296
0.262,-0.037,0.964,-2.686,-7.324,-6.104
0.299,0.005,0.990,3.479,-14.709,-5.554
0.309,0.033,1.031,5.798,-17.883,-4.944
0.343,0.055,1.046,3.967,-16.724,-6.653
0.375,0.092,1.057,2.625,-16.296,-8.423
0.385,0.087,1.086,5.005,-17.639,-9.155
0.398,0.081,1.092,6.348,-18.677,-10.010
0.392,0.085,1.095,4.456,-19.958,-11.536
0.397,0.048,1.110,2.136,-20.691,-12.146
0.282,-0.839,1.178,-24.658,-36.682,-28.198
0.232,-0.870,1.181,-15.564,-47.424,-34.241
0.190,-0.942,1.162,-8.728,-54.260,-39.246
0.114,-1.005,1.156,-5.432,-60.181,-45.349
0.080,-1.026,1.142,-4.456,-59.448,-52.795
0.037,-1.070,1.121,-3.113,-55.969,-59.326
0.019,-1.068,1.092,-2.747,-49.683,-70.190
0.021,-1.086,1.095,-1.587,-42.664,-83.008
0.010,-1.116,1.123,-0.793,-37.048,-104.431
0.040,-1.010,1.176,-6.531,-32.410,-127.930
0.077,-0.916,1.189,-9.705,-31.555,-147.217
0.140,-0.887,1.174,-6.897,-36.743,-161.804
0.165,-0.863,1.158,-4.150,-47.852,-174.561
0.228,-0.809,1.072,0.732,-57.251,-189.575
0.300,-0.739,1.012,8.850,-71.350,-204.529
0.348,-0.675,0.954,19.348,-82.581,-214.355
0.359,-0.624,0.902,27.954,-84.717,-222.168
0.364,-0.705,0.891,32.715,-79.041,-232.971
0.440,-0.675,0.837,33.386,-69.580,-251.099
0.486,-0.541,0.777,36.194,-61.401,-270.569
0.495,-0.453,0.774,48.584,-56.396,-286.194
0.477,-0.406,0.792,64.575,-53.833,-294.312
0.510,-0.368,0.815,70.557,-50.720,-296.875
0.549,-0.304,0.827,65.552,-45.105,-295.715
0.586,-0.215,0.820,52.856,-37.781,-290.405
0.608,-0.150,0.796,38.086,-31.189,-282.776
0.640,-0.101,0.776,24.170,-25.513,-274.170
0.713,-0.120,0.824,11.047,-20.142,-269.409
0.787,-0.031,0.824,1.038,-19.653,-273.071
0.876,0.123,0.773,-1.221,-24.963,-276.855
0.997,0.296,0.681,7.446,-36.682,-273.071
1.133,0.415,0.601,25.208,-47.729,-261.719
1.294,0.535,0.571,44.250,-47.424,-248.840
1.454,0.667,0.603,57.800,-34.424,-238.892
1.619,0.732,0.663,60.974,-10.559,-232.605
1.733,0.826,0.759,55.847,21.301,-226.990
1.750,0.975,0.833,45.105,51.636,-222.839
1.715,1.112,0.870,33.997,68.176,-215.881
1.749,1.240,0.921,30.762,65.979,-200.256
1.753,1.341,1.005,35.278,52.551,-177.551
1.779,1.361,1.122,38.391,39.917,-156.006
1.680,1.419,1.178,29.907,31.250,-136.658
1.545,1.523,1.155,12.085,26.611,-118.347
1.422,1.579,1.116,2.014,24.658,-105.042
1.547,1.475,1.111,8.667,14.221,-99.121
1.631,1.503,1.180,26.917,20.630,-95.276
1.791,1.664,0.905,50.293,65.430,-81.177
1.856,1.818,1.231,56.335,59.021,-56.946
1.857,1.951,1.602,38.879,15.503,-27.100
1.980,1.852,1.628,16.907,-6.531,4.883
1.895,1.746,1.409,-6.348,-11.169,36.865
1.810,1.619,1.175,-32.776,-22.949,64.148
1.725,1.470,0.976,-49.377,-42.358,83.191
1.681,1.294,0.829,-46.692,-57.983,99.060
1.605,1.148,0.740,-27.649,-67.139,108.826
1.481,1.000,0.745,-6.042,-73.547,112.976
1.436,0.870,0.769,8.911,-78.369,116.821
1.416,0.768,0.740,12.024,-80.872,123.108
1.344,0.714,0.702,5.371,-76.111,135.376
1.251,0.650,0.656,-6.531,-58.716,155.151
1.187,0.530,0.645,-18.494,-35.583,176.147
1.090,0.380,0.727,-28.931,-11.963,193.542
0.945,0.219,0.792,-38.696,7.690,203.003
0.835,0.121,0.784,-48.950,21.240,203.125
0.723,0.100,0.764,-54.321,23.132,198.914
0.593,0.078,0.707,-51.697,13.794,193.481
0.508,0.039,0.608,-42.236,0.671,185.608
0.474,0.041,0.508,-31.250,-10.986,176.453
0.495,0.093,0.433,-23.804,-16.113,169.006
0.564,0.144,0.357,-15.930,-7.568,171.875
0.600,0.157,0.370,-4.822,13.855,187.134
0.552,0.074,0.496,3.052,42.969,207.458
0.551,-0.106,0.658,1.404,71.045,223.328
0.536,-0.232,0.801,-7.690,90.820,229.675
0.484,-0.253,0.902,-16.479,100.830,226.807
0.474,-0.209,0.924,-19.043,97.778,216.736
0.503,-0.164,0.887,-7.263,79.773,206.665
0.466,-0.225,0.914,19.104,55.908,204.529
0.479,-0.385,1.005,42.053,39.246,207.458
0.492,-0.551,1.097,48.950,39.001,209.351
0.533,-0.683,1.177,39.734,54.382,209.412
0.529,-0.796,1.278,27.222,77.515,213.196
0.449,-0.939,1.396,17.395,95.825,218.445
0.357,-1.049,1.447,5.371,102.783,216.309
0.300,-1.124,1.439,-7.202,98.511,206.665
0.211,-1.227,1.430,-9.705,85.510,194.214
0.081,-1.416,1.455,-6.958,67.627,179.138
0.000,-1.527,1.453,-11.047,49.011,160.828
-0.069,-1.480,1.324,-21.606,32.715,139.526
-0.041,-1.420,1.151,-25.513,19.226,119.507
0.008,-1.337,0.937,-18.616,2.441,105.347
0.160,-1.274,0.773,-4.883,-10.010,95.520
0.237,-1.235,0.710,10.193,-10.193,85.938
0.290,-1.160,0.696,17.578,-1.160,78.918
0.329,-1.100,0.725,18.188,10.620,78.430
0.337,-1.125,0.822,16.785,20.996,81.299
0.297,-1.166,0.927,12.451,27.832,81.421
0.228,-1.174,1.018,5.920,29.846,76.538
0.164,-1.146,1.053,4.028,26.062,67.627
0.108,-1.112,1.060,12.085,12.634,56.274
0.056,-1.055,1.033,25.208,-7.996,43.579
0.074,-0.972,1.002,35.950,-26.611,30.823
0.087,-0.857,0.968,44.739,-42.480,21.240
0.089,-0.790,0.962,51.758,-53.162,19.592
0.073,-0.815,0.967,52.124,-56.152,22.522
0.033,-0.799,0.973,42.542,-50.354,23.010
-0.009,-0.699,0.934,29.175,-37.659,18.799
-0.053,-0.569,0.923,20.325,-25.024,15.930
-0.047,-0.489,0.928,17.883,-16.724,15.198
-0.010,-0.428,0.934,19.470,-13.367,14.709
0.056,-0.322,0.980,22.705,-13.550,13.306
0.078,-0.231,1.026,25.024,-20.691,12.817
0.090,-0.205,1.041,24.902,-27.222,12.695
0.084,-0.181,1.044,20.508,-28.503,12.024
0.067,-0.124,1.035,15.076,-23.560,9.888
0.048,-0.095,1.057,12.756,-15.869,6.592
0.038,-0.066,1.095,13.000,-8.911,3.662
0.060,-0.054,1.116,13.184,-4.578,0.305
0.100,-0.038,1.123,14.221,-1.953,-4.333
0.070,-0.876,1.116,-27.283,-10.437,-13.428
0.003,-0.843,1.147,-26.611,-14.832,-26.367
-0.027,-0.803,1.127,-26.123,-20.569,-40.222
-0.042,-0.808,1.117,-20.447,-26.855,-48.645
-0.092,-0.852,1.142,-13.733,-33.936,-54.077
-0.130,-0.868,1.162,-10.010,-33.508,-59.998
-0.171,-0.905,1.181,-9.583,-28.809,-63.660
-0.173,-0.922,1.189,-13.123,-23.071,-69.641
-0.195,-1.069,1.236,-17.883,-16.968,-77.454
-0.241,-1.127,1.274,-24.170,-9.399,-94.177
-0.255,-1.090,1.240,-32.043,-5.737,-119.995
-0.218,-1.048,1.225,-34.790,-11.292,-145.813
-0.183,-1.007,1.175,-27.283,-25.696,-169.067
-0.160,-0.956,1.118,-13.245,-42.419,-191.711
-0.092,-0.893,1.037,-1.892,-56.702,-210.999
-0.016,-0.853,0.968,6.836,-65.002,-226.562
0.059,-0.801,0.892,12.573,-63.416,-240.784
0.084,-0.736,0.841,12.207,-61.951,-251.465
0.129,-0.679,0.809,11.475,-58.655,-259.766
0.169,-0.615,0.757,13.245,-50.964,-265.564
0.223,-0.591,0.726,17.700,-44.250,-267.700
0.270,-0.604,0.727,23.926,-40.771,-268.738
0.320,-0.677,0.763,29.358,-34.668,-274.353
0.322,-0.720,0.812,33.142,-26.428,-283.875
0.340,-0.662,0.819,32.654,-20.020,-295.471
0.381,-0.559,0.826,31.006,-19.348,-304.504
0.387,-0.504,0.865,30.823,-23.132,-305.176
0.434,-0.486,0.911,29.419,-26.367,-300.049
0.469,-0.499,0.901,23.926,-25.879,-294.617
0.584,-0.450,0.849,10.376,-24.109,-288.879
0.745,-0.425,0.788,-4.517,-22.461,-284.363
0.945,-0.308,0.717,-16.357,-14.954,-282.959
1.118,-0.105,0.651,-24.597,-7.629,-282.104
1.299,0.087,0.602,-23.804,-3.662,-277.527
1.515,0.256,0.555,-14.771,-1.709,-267.151
1.814,0.390,0.549,-1.343,2.563,-252.930
2.028,0.499,0.653,13.672,14.282,-238.525
2.156,0.618,0.771,24.231,30.884,-229.248
2.258,0.768,0.860,30.212,45.654,-223.267
2.259,0.913,0.948,33.752,52.795,-211.365
2.238,1.047,1.003,32.227,51.880,-192.200
2.240,1.161,1.033,27.832,42.114,-170.471
2.212,1.251,1.084,22.644,28.931,-147.888
2.084,1.329,1.097,15.686,18.921,-124.756
2.156,1.360,1.108,8.179,16.052,-105.103
2.078,1.381,1.230,6.531,7.690,-88.623
2.109,1.371,1.090,18.860,23.132,-80.627
2.145,1.436,0.968,36.560,47.180,-67.078
2.039,1.577,0.979,43.701,31.372,-41.809
1.955,1.625,1.109,36.377,-19.165,-13.794
1.976,1.589,1.113,30.396,-45.593,18.616
1.900,1.505,1.036,24.536,-50.293,50.781
1.815,1.381,0.940,13.672,-50.781,78.308
1.716,1.217,0.860,2.136,-53.345,101.318
1.599,1.080,0.806,-5.188,-52.612,118.469
1.480,0.949,0.743,-4.150,-49.133,128.906
1.380,0.834,0.687,1.831,-46.021,135.925
1.286,0.727,0.678,9.460,-47.180,141.296
1.233,0.639,0.694,15.686,-48.584,148.621
1.216,0.551,0.710,18.188,-49.377,156.982
1.222,0.459,0.744,15.381,-48.218,164.001
1.184,0.374,0.767,7.812,-45.471,171.021
1.171,0.324,0.783,-3.845,-39.185,179.687
1.136,0.257,0.800,-17.334,-33.203,187.317
1.101,0.219,0.787,-30.151,-28.381,194.641
1.088,0.198,0.740,-37.781,-24.658,202.698
1.063,0.186,0.673,-38.452,-20.935,211.670
1.008,0.180,0.638,-36.377,-15.625,220.215
0.928,0.151,0.580,-34.058,-8.301,227.295
0.902,0.149,0.522,-33.630,1.831,234.802
0.885,0.133,0.514,-31.433,13.428,241.699
0.817,0.051,0.587,-25.513,26.550,247.986
0.755,-0.026,0.658,-21.118,38.452,254.578
0.703,-0.075,0.703,-18.616,45.288,259.155
0.663,-0.114,0.734,-15.808,45.715,260.986
0.627,-0.180,0.788,-9.827,43.335,262.207
0.603,-0.289,0.828,-1.160,40.161,265.381
0.597,-0.412,0.875,7.019,36.987,268.433
0.523,-0.529,0.925,12.329,33.813,268.433
0.469,-0.666,0.995,13.062,31.738,268.127
0.380,-0.765,1.047,10.437,33.997,266.418
0.268,-0.875,1.109,5.310,38.574,260.742
0.183,-0.970,1.159,-1.343,44.006,251.526
0.134,-1.030,1.190,-6.592,47.852,240.356
0.095,-1.029,1.196,-8.301,48.096,224.854
0.049,-1.082,1.241,-4.639,44.434,209.351
0.023,-1.169,1.337,1.343,39.001,196.655
0.010,-1.148,1.395,0.488,35.278,182.312
-0.008,-1.100,1.419,-6.287,32.959,165.466
-0.020,-1.045,1.409,-13.123,29.663,153.137
-0.016,-1.011,1.366,-20.386,24.658,145.325
-0.022,-0.979,1.301,-28.931,19.043,137.695
-0.041,-0.939,1.218,-36.194,12.939,129.761
-0.019,-0.977,1.180,-36.316,11.780,122.681
-0.029,-0.986,1.143,-34.058,11.841,114.502
0.001,-0.968,1.137,-30.762,12.329,102.722
0.033,-0.938,1.133,-25.269,12.695,91.553
0.096,-0.888,1.126,-19.775,11.169,83.496
0.154,-0.833,1.123,-15.991,8.911,77.026
0.186,-0.755,1.109,-14.954,5.798,71.655
0.180,-0.725,1.100,-14.343,1.099,68.237
0.171,-0.742,1.102,-12.878,-4.517,65.369
0.148,-0.711,1.073,-12.146,-8.789,59.814
0.110,-0.683,1.027,-8.850,-10.986,52.002
0.061,-0.666,0.998,-2.686,-12.817,44.861
0.017,-0.622,0.969,2.625,-12.634,36.438
-0.012,-0.536,0.938,6.958,-11.414,27.283
-0.004,-0.462,0.926,13.672,-10.681,21.484
-0.022,-0.440,0.932,21.179,-15.320,21.057
0.012,-0.415,0.948,25.574,-16.296,20.813
0.021,-0.343,0.957,23.926,-13.367,18.860
0.016,-0.258,0.953,18.494,-9.521,18.494
0.024,-0.222,0.936,13.489,-4.456,20.508
0.022,-0.230,0.918,9.644,-1.099,21.973
0.018,-0.219,0.908,8.667,0.793,20.996
0.016,-0.206,0.928,11.108,0.732,18.921
0.025,-0.210,0.965,16.296,-0.488,15.381
0.027,-0.204,1.002,21.362,-1.953,10.193
0.016,-0.161,1.024,23.010,-4.089,4.272
0.038,-0.848,1.173,5.554,-25.757,-74.524
0.040,-0.869,1.212,5.432,-22.278,-81.482
0.027,-0.854,1.222,5.005,-20.203,-91.675
0.040,-0.835,1.239,4.761,-22.095,-102.600
0.054,-0.795,1.243,5.371,-27.710,-113.953
0.083,-0.741,1.240,7.385,-33.142,-124.756
0.078,-0.698,1.214,9.583,-39.124,-133.484
0.076,-0.682,1.194,11.597,-43.152,-139.404
0.071,-0.647,1.160,11.841,-44.495,-143.677
0.075,-0.640,1.124,11.414,-42.786,-149.292
0.069,-0.671,1.099,10.315,-40.771,-156.128
0.068,-0.686,1.091,10.193,-36.804,-165.039
0.096,-0.659,1.056,12.085,-30.701,-177.795
0.102,-0.587,1.057,14.587,-32.471,-186.035
0.132,-0.534,1.060,21.851,-32.349,-191.345
0.151,-0.495,1.074,31.311,-30.762,-194.580
0.159,-0.439,1.065,38.574,-31.616,-194.885
0.176,-0.435,1.064,45.959,-30.640,-192.322
0.157,-0.630,1.135,51.331,-29.785,-191.345
0.102,-0.750,1.164,46.204,-31.494,-205.383
0.110,-0.633,1.089,31.128,-34.851,-229.248
0.168,-0.495,0.991,23.315,-44.006,-247.864
0.180,-0.435,0.896,30.701,-54.138,-255.127
0.217,-0.405,0.857,42.847,-57.800,-254.883
0.172,-0.382,0.797,49.744,-59.448,-252.686
0.185,-0.346,0.762,47.424,-57.251,-250.000
0.223,-0.281,0.712,39.063,-48.767,-246.277
0.245,-0.156,0.659,23.132,-37.537,-240.723
0.277,-0.122,0.620,5.920,-28.564,-236.206
0.351,-0.124,0.611,-6.531,-18.372,-234.497
0.495,-0.070,0.602,-14.771,-8.301,-234.741
0.668,0.037,0.558,-21.118,0.305,-234.802
0.834,0.145,0.528,-21.545,9.644,-231.750
1.000,0.242,0.533,-16.052,24.353,-223.694
1.158,0.330,0.508,-7.690,40.161,-217.529
1.396,0.394,0.567,5.981,53.833,-215.698
1.607,0.508,0.703,26.001,65.369,-213.196
1.837,0.639,0.856,46.204,72.510,-210.388
1.911,0.790,1.013,64.514,68.909,-206.787
2.078,0.924,1.127,78.918,68.237,-200.317
2.148,1.003,1.185,85.144,65.491,-189.026
2.143,1.224,1.222,84.045,56.946,-165.588
2.203,1.327,1.281,86.182,53.833,-142.761
2.197,1.402,1.315,87.830,54.565,-123.413
2.199,1.505,1.426,81.421,54.626,-103.516
2.189,1.605,1.543,63.904,48.401,-78.918
2.171,1.714,1.592,36.438,31.128,-44.434
2.104,1.768,1.648,7.141,4.517,-4.883
1.946,1.767,1.735,-17.334,-18.127,33.386
1.848,1.545,1.643,-34.119,-21.790,60.669
1.794,1.380,1.360,-44.861,-15.808,81.726
1.702,1.271,1.111,-56.030,-18.066,99.792
1.613,1.174,0.887,-55.298,-32.471,109.985
1.486,1.053,0.707,-41.809,-51.819,118.835
1.378,0.951,0.603,-24.902,-69.397,127.808
1.327,0.859,0.562,-12.207,-80.444,138.245
1.271,0.753,0.560,-3.479,-79.529,148.376
1.191,0.586,0.621,-1.221,-67.200,158.630
1.140,0.433,0.683,-10.315,-46.326,168.335
1.069,0.315,0.735,-26.184,-23.499,176.819
1.058,0.292,0.738,-42.542,-6.531,181.824
1.061,0.377,0.716,-52.734,5.127,185.242
0.996,0.411,0.714,-50.415,12.573,191.833
0.962,0.363,0.712,-38.635,15.625,202.393
0.924,0.309,0.703,-23.682,14.404,214.233
0.879,0.210,0.704,-8.423,9.094,222.473
0.803,0.133,0.721,0.610,4.272,227.417
0.685,0.077,0.735,2.930,2.930,233.032
0.605,0.009,0.721,-2.258,5.798,238.464
0.584,-0.058,0.704,-12.390,11.597,242.004
0.534,-0.104,0.712,-22.095,19.470,243.958
0.486,-0.106,0.711,-29.175,28.931,243.591
0.470,-0.084,0.679,-33.020,36.011,240.112
0.492,-0.090,0.674,-30.396,37.720,235.779
0.499,-0.146,0.673,-20.630,35.706,232.910
0.494,-0.260,0.710,-5.859,35.156,231.628
0.492,-0.403,0.786,8.667,35.950,232.727
0.490,-0.503,0.895,18.250,40.222,235.229
0.428,-0.605,1.017,19.836,47.668,233.398
0.376,-0.678,1.135,13.123,57.312,226.440
0.323,-0.676,1.197,0.122,65.125,218.262
0.312,-0.633,1.191,-13.916,66.833,210.999
0.304,-0.648,1.178,-17.578,61.340,205.872
0.287,-0.763,1.191,-10.254,53.101,205.200
0.272,-0.896,1.254,0.244,44.617,202.942
0.258,-1.001,1.311,5.310,38.818,193.848
0.219,-1.037,1.356,1.099,36.072,180.420
0.190,-1.055,1.378,-6.653,35.278,169.739
0.174,-1.025,1.377,-14.465,34.302,162.720
0.121,-1.073,1.375,-19.104,30.457,155.457
0.044,-1.134,1.389,-20.630,22.888,147.888
-0.025,-1.215,1.404,-21.851,17.700,139.709
-0.071,-1.266,1.393,-26.428,16.907,131.226
-0.087,-1.261,1.380,-34.302,18.005,121.704
-0.074,-1.224,1.332,-40.833,16.296,111.084
0.010,-1.151,1.246,-41.626,10.803,100.220
0.054,-1.008,1.165,-34.912,1.648,91.431
0.091,-0.933,1.091,-23.315,-6.287,83.740
0.153,-0.884,1.039,-15.747,-12.451,76.843
0.176,-0.829,1.001,-15.198,-14.954,70.251
0.144,-0.780,0.966,-18.677,-13.245,62.805
0.130,-0.762,0.930,-22.339,-8.423,56.335
0.109,-0.755,0.892,-21.973,-3.845,50.842
0.064,-0.750,0.880,-15.991,-0.793,45.349
0.029,-0.780,0.903,-7.507,1.709,39.734
-0.004,-0.769,0.935,1.282,5.249,32.104
-0.031,-0.679,0.976,8.179,5.920,22.583
-0.065,-0.602,1.022,13.428,0.366,15.564
-0.021,-0.495,1.029,16.663,-3.540,11.169
0.006,-0.369,1.039,14.282,-8.240,9.583
0.033,-0.264,1.030,8.850,-11.597,12.085
0.034,-0.172,0.989,2.258,-11.047,16.663
0.030,-0.116,0.948,-3.235,-8.545,21.606
0.034,-0.081,0.910,-6.287,-8.057,25.024
0.045,-0.089,0.896,-5.249,-8.972,26.672
0.043,-0.108,0.899,-0.305,-9.460,24.109
0.034,-0.099,0.909,6.409,-9.338,17.029
0.033,-0.066,0.918,14.648,-11.108,7.996
0.058,-0.018,0.926,24.231,-13.367,0.671
-0.054,-0.900,1.111,-10.742,-51.453,-47.546
-0.018,-0.890,1.041,-10.071,-57.312,-54.688
-0.002,-0.877,0.996,-10.559,-58.594,-60.242
0.003,-0.857,0.953,-11.841,-55.725,-65.125
0.011,-0.818,0.931,-13.245,-50.354,-70.374
0.023,-0.835,0.940,-12.817,-45.105,-74.707
0.005,-0.839,0.951,-10.986,-39.429,-81.665
-0.023,-0.835,1.002,-8.789,-35.217,-88.318
-0.036,-0.824,1.037,-5.310,-34.851,-95.825
-0.070,-0.792,1.060,-0.977,-38.025,-103.577
-0.078,-0.814,1.087,2.136,-43.701,-112.000
-0.095,-0.799,1.105,4.028,-47.119,-119.873
-0.108,-0.829,1.114,4.395,-49.500,-129.333
-0.113,-0.793,1.089,3.174,-50.964,-140.259
-0.132,-0.739,1.063,2.930,-52.124,-150.635
-0.123,-0.702,1.046,4.700,-53.223,-160.156
-0.141,-0.695,1.015,9.338,-54.138,-169.922
-0.097,-0.713,1.014,13.733,-52.185,-180.481
-0.064,-0.746,1.000,16.846,-48.645,-194.763
-0.028,-0.727,1.024,17.090,-51.086,-207.642
-0.019,-0.669,1.003,19.165,-50.476,-220.825
0.038,-0.635,0.981,24.292,-43.945,-234.558
0.055,-0.575,0.983,28.015,-45.471,-244.629
0.083,-0.520,0.971,31.128,-49.377,-252.930
0.115,-0.485,0.898,37.109,-48.523,-262.634
0.147,-0.432,0.826,43.518,-48.462,-270.996
0.165,-0.370,0.783,49.561,-51.270,-276.917
0.146,-0.337,0.803,56.274,-51.270,-280.273
0.129,-0.290,0.809,57.190,-47.607,-281.555
0.152,-0.226,0.742,49.927,-45.349,-284.058
0.258,-0.123,0.632,40.405,-45.532,-286.743
0.299,0.026,0.453,33.020,-46.875,-284.973
0.403,0.064,0.347,33.264,-39.246,-278.076
0.627,0.057,0.311,38.086,-20.569,-266.602
0.893,0.032,0.356,43.518,6.470,-255.554
1.115,0.091,0.482,48.828,37.842,-249.939
1.336,0.148,0.709,54.993,68.665,-250.916
1.539,0.288,0.894,60.791,92.407,-250.549
1.843,0.511,1.036,65.002,104.370,-241.577
2.087,0.689,1.251,71.655,98.694,-224.854
2.196,0.827,1.466,83.862,82.947,-205.078
2.275,0.925,1.619,89.172,66.284,-185.303
2.189,1.054,1.726,79.041,46.875,-165.100
2.115,1.156,1.656,59.570,41.016,-148.132
1.990,1.240,1.505,35.950,34.241,-131.409
1.951,1.303,1.383,15.015,24.658,-112.732
1.874,1.331,1.314,4.761,18.799,-95.947
1.820,1.402,1.283,1.221,17.700,-78.796
1.795,1.475,1.274,-0.366,12.207,-59.875
1.789,1.553,1.274,-1.343,-0.488,-38.818
1.778,1.591,1.267,-1.953,-14.099,-18.372
1.758,1.596,1.220,-1.770,-26.123,1.892
1.749,1.577,1.164,-2.197,-37.170,22.644
1.686,1.538,1.083,-5.066,-49.377,41.626
1.646,1.486,0.963,-9.033,-59.875,60.730
1.590,1.414,0.822,-10.803,-65.857,80.383
1.519,1.304,0.724,-10.437,-66.406,97.168
1.420,1.155,0.687,-10.010,-62.317,111.877
1.372,1.016,0.689,-11.047,-54.138,126.343
1.291,0.899,0.733,-12.390,-46.021,138.977
1.204,0.807,0.763,-14.832,-39.063,150.208
